gene_id	gene_name	total_reads	total_bases	covered_positions	gene_length	percent_coverage	mean_depth	RPKM	TPM
144	ant(3'')-IIa	9	867	47	263	17.87	0.03	1.12	0.00
145	ant(3'')-IIa	3	180	20	263	7.60	0.01	0.37	0.00
150	aac(6')-Il	2	297	50	153	32.68	0.01	0.43	0.00
151	aac(6')-Ib-G	4	483	50	185	27.03	0.02	0.71	0.00
152	aac(2')-Id	22	2988	50	211	23.70	0.10	3.40	0.00
153	aac(6')-Ib-AKT	47	4569	50	185	27.03	0.25	8.29	0.00
154	aac(6')-Id	419	46905	50	150	33.33	2.79	91.15	0.00
156	ant(2'')-Ia	398	44511	50	178	28.09	2.24	72.96	0.00
157	aacA43	2	126	21	188	11.17	0.01	0.35	0.00
158	aac(3)-IId	2	177	33	287	11.50	0.01	0.23	0.00
159	aac(3)-IIe	3	219	26	287	9.06	0.01	0.34	0.00
160	aac(6')-Ib-G	325	36951	50	185	27.03	1.76	57.33	0.00
162	aac(6')-Ib-G	17	1293	30	185	16.22	0.09	3.00	0.00
169	aph(3')-Va	5	528	39	269	14.50	0.02	0.61	0.00
172	ant(2'')-Ia	8	789	47	178	26.40	0.04	1.47	0.00
173	ant(3'')-IIa	1	147	49	263	18.63	0.00	0.12	0.00
175	aph(3'')-Ib	1	60	20	268	7.46	0.00	0.12	0.00
177	aacA-ENT1	6	669	48	183	26.23	0.03	1.07	0.00
183	aph(6)-Ic	3	315	37	281	13.17	0.01	0.35	0.00
189	aph(3')-Ia	8	627	48	272	17.65	0.03	0.96	0.00
195	aph(6)-Smalt	1	66	22	271	8.12	0.00	0.12	0.00
201	ant(2'')-Ia	2	264	44	178	24.72	0.01	0.37	0.00
208	aac(6')_E606	3	276	35	148	23.65	0.02	0.66	0.00
213	aac(6')-Ib-AKT	36	3069	48	185	25.95	0.19	6.35	0.00
215	aac(6')-F72	1	138	46	184	25.00	0.01	0.18	0.00
218	aac(6')-IIc	6	408	26	194	13.40	0.03	1.01	0.00
224	aac(6')_E141	2	204	35	149	23.49	0.01	0.44	0.00
237	aac(6')-Ib-G	15	1434	44	185	23.78	0.08	2.65	0.00
238	aac(6')_Entco	67	6402	48	183	26.23	0.37	11.95	0.00
242	aac(6')_E553	239	26076	50	149	33.56	1.60	52.34	0.00
244	aac(3)-Ih	3	318	38	153	24.84	0.02	0.64	0.00
245	aacA-ENT2	607	67725	50	183	27.32	3.32	108.24	0.00
247	aac(6')-Ib'	375	38394	50	420	11.90	0.89	29.14	0.00
267	aph(2'')-Ia	23	2106	50	480	10.42	0.05	1.56	0.00
277	aph(3')-Ia	639	66855	50	272	18.38	2.35	76.66	0.00
283	aac(6')-It	406	47145	50	147	34.01	2.76	90.13	0.00
285	ant(2'')-Ia	458	53526	50	178	28.09	2.57	83.96	0.00
288	aac(6')-35	253	27399	50	180	27.78	1.41	45.87	0.00
292	ant(3'')-IIc	4	390	38	263	14.45	0.02	0.50	0.00
293	aacA-ACI5	4	540	49	147	33.33	0.03	0.89	0.00
297	aph(2'')-IIa	1	93	31	300	10.33	0.00	0.11	0.00
301	aac(3)-XI	5	510	38	149	25.50	0.03	1.10	0.00
302	aac(6')-31	8	885	44	185	23.78	0.04	1.41	0.00
303	aac(6')-Ib-cr4	1	93	31	185	16.76	0.01	0.18	0.00
304	aac(6')_Strep	33	2832	48	166	28.92	0.20	6.49	0.00
307	aac(6')_E111	98	8136	43	145	29.66	0.68	22.05	0.00
309	aacA-ACI4	316	33384	50	146	34.25	2.16	70.63	0.00
312	aac(6')-Iv	1	99	33	147	22.45	0.01	0.22	0.00
316	aac(6')-Ib-G	305	33654	50	185	27.03	1.65	53.80	0.00
320	aacA-STR-7	19	1836	44	158	27.85	0.12	3.92	0.00
345	aph(3')-VIIIb	1	93	31	260	11.92	0.00	0.13	0.00
365	aph(2'')-IVa	301	33120	50	302	16.56	1.00	32.52	0.00
366	aac(2')-Ib	6	795	50	196	25.51	0.03	1.00	0.00
371	aac(6')_Yersi	6	708	44	147	29.93	0.04	1.33	0.00
379	aac(6')_Serra	42	3510	47	147	31.97	0.29	9.32	0.00
387	aph(2'')-Ig	2	204	35	307	11.40	0.01	0.21	0.00
388	aac(6')-Ib-D181Y	2	159	33	185	17.84	0.01	0.35	0.00
393	aac(3)-IVb	18	2112	49	266	18.42	0.07	2.21	0.00
396	aac(6')_Serra	25	3024	50	147	34.01	0.17	5.55	0.00
400	aac(6')-Iae	1	60	20	184	10.87	0.01	0.18	0.00
407	aac(6')-Ie_fam	1	60	20	484	4.13	0.00	0.07	0.00
413	aph(2'')-Ii	6	663	48	298	16.11	0.02	0.66	0.00
415	aac(6')_Serra	4	324	27	147	18.37	0.03	0.89	0.00
416	aac(6')_Serra	4	414	38	147	25.85	0.03	0.89	0.00
419	aacA-ENT1	10	972	47	183	25.68	0.05	1.78	0.00
420	aac(6')_Strep	8	789	47	166	28.31	0.05	1.57	0.00
424	aac(6')-Iu	2	186	38	147	25.85	0.01	0.44	0.00
425	aacA-ACI6	1	63	21	147	14.29	0.01	0.22	0.00
429	aacA-STR-13	33	2832	48	161	29.81	0.20	6.69	0.00
432	aac(3)-Id	1	93	31	159	19.50	0.01	0.21	0.00
440	aacA47	81	8028	50	185	27.03	0.44	14.29	0.00
441	aac(6')_E550	336	33624	50	145	34.48	2.32	75.62	0.00
443	aac(6')-Iag	7	921	49	168	29.17	0.04	1.36	0.00
444	aac(6')-Ib-G	25	2313	42	185	22.70	0.14	4.41	0.00
445	aac(6')-Ib-AKT	12	879	44	185	23.78	0.06	2.12	0.00
446	aac(6')-Iaa	13	1542	50	146	34.25	0.09	2.91	0.00
453	aacA-ACI5	28	3468	50	147	34.01	0.19	6.22	0.00
467	aac(6')_Serra	98	8136	43	147	29.25	0.67	21.75	0.00
483	aac(6')-Ia	2829	306600	50	186	26.88	15.21	496.32	0.00
492	aac(6')-Ib-cr11	3	180	20	185	10.81	0.02	0.53	0.00
503	blaESP-1	9	852	43	291	14.78	0.03	1.01	0.00
504	blaCTX-M-113	25	2325	44	292	15.07	0.09	2.79	0.00
506	blaFOX-13	8	789	47	383	12.27	0.02	0.68	0.00
511	blaGIM-2	512	44340	44	251	17.53	2.04	66.56	0.00
512	blaCMY-87	6	708	44	382	11.52	0.02	0.51	0.00
517	blaCMY-81	1	63	21	382	5.50	0.00	0.09	0.00
518	blaCTX-M-46	36	3081	48	292	16.44	0.12	4.02	0.00
523	blaCTX-M-102	3	237	33	292	11.30	0.01	0.34	0.00
528	blaGOB-11	9	804	40	293	13.65	0.03	1.00	0.00
530	blaCTX-M-48	1	60	20	292	6.85	0.00	0.11	0.00
533	blaGES-8	1	60	20	288	6.94	0.00	0.11	0.00
539	blaGES-23	5	300	20	288	6.94	0.02	0.57	0.00
540	blaCTX-M-41	6	744	48	292	16.44	0.02	0.67	0.00
541	blaGES-25	94	9408	50	288	17.36	0.33	10.65	0.00
542	blaCMY-90	32	3327	44	382	11.52	0.08	2.73	0.00
570	blaCTX-M-43	1	69	23	292	7.88	0.00	0.11	0.00
571	blaCMY-85	147	16905	50	382	13.09	0.38	12.56	0.00
580	blaCTX-M-173	15	1335	50	292	17.12	0.05	1.68	0.00
591	blaCTX-M-151	8	600	32	305	10.49	0.03	0.86	0.00
593	blaCTX-M-147	723	84504	50	292	17.12	2.48	80.80	0.00
599	blaCTX-M-84	23	2535	50	292	17.12	0.08	2.57	0.00
600	blaCTX-M-85	8	885	44	292	15.07	0.03	0.89	0.00
603	blaCTX-M-175	3	237	33	292	11.30	0.01	0.34	0.00
605	blaCTX-M-88	19	1740	50	292	17.12	0.07	2.12	0.00
613	blaCTX-M-68	3	237	33	292	11.30	0.01	0.34	0.00
615	blaCTX-M-69	5	300	20	292	6.85	0.02	0.56	0.00
622	blaCTX-M-90	347	39483	50	292	17.12	1.19	38.78	0.00
623	blaCTX-M-161	80	9768	50	292	17.12	0.27	8.94	0.00
629	blaCTX-M-54	1	93	31	292	10.62	0.00	0.11	0.00
630	blaCTX-M-52	5	546	49	292	16.78	0.02	0.56	0.00
637	blaCTX-M-126	1	66	22	292	7.53	0.00	0.11	0.00
640	blaCTX-M-124	4	243	21	292	7.19	0.01	0.45	0.00
642	blaDHA-24	55	5142	48	380	12.63	0.14	4.72	0.00
658	blaCTX-M-112	138	13884	50	292	17.12	0.47	15.42	0.00
661	blaEC-18	25	2229	44	378	11.64	0.07	2.16	0.00
662	blaDHA-10	1	114	38	380	10.00	0.00	0.09	0.00
664	blaCTX-M-91	599	66735	50	292	17.12	2.05	66.94	0.00
665	blaCTX-M-176	293	30861	50	292	17.12	1.00	32.74	0.00
666	blaCTX-M-177	35	2622	45	292	15.41	0.12	3.91	0.00
